TaxonID,SourceID,DataAgreement,ObjectiveOfMonitoring,AbsencesRecorded,StandardisationOfMethodEffort,ConsistencyOfMonitoring,StartYear,EndYear,NotInIndex,SuppressAggregatedData
u197,4,,,,5,,,,0,0
u223,4,,2,,2,,,,0,0
u224b,4,,2,,2,,,,0,0
u233,4,,2,,2,,,,0,0
u236,4,,2,,2,,,,0,0
u246b,4,,2,,2,,,,0,0
u270a,4,,,,5,,,,0,0
u277,4,,,,5,,,,0,0
u278b,4,,,,5,,,,0,0
u279,4,,2,,2,,,,0,0
u382,4,,,,5,,,,0,0
u385a,4,,,,5,,,,0,0
u398a,4,,,,5,,,,0,0
u39b,4,,,,5,,,,0,0
u542a,4,,,,5,,,,0,0
u542b,4,,,,5,,,,0,0
u555c,4,,,,5,,,,0,0
u574g,4,,,,5,,,,0,0
u580a,4,,,,5,,,,0,0
u598,4,,,,5,,,,0,0
u670,4,,,,5,,,,0,0
u682,4,,,,5,,,,0,0
u694a,4,,,,5,,,,0,0
u967,4,,,,5,,,,0,0
u123,1,2,4,,5,3,,,0,0
u311c,3,2,,,5,4,,,0,0
355,2,2,,,5,4,,,0,0
